Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-10-16 00:00:00-04:00,95.44768170687395,95.44768170687395,95.42871486522928,95.43820190429688,5700,0.0,0.0,0.0
2023-10-17 00:00:00-04:00,95.44768916868684,95.46666324830535,95.44768916868684,95.4571762084961,4600,0.0,0.0,0.0
2023-10-18 00:00:00-04:00,95.47993651571711,95.48562439736884,95.4628656342713,95.48278045654297,2700,0.0,0.0,0.0
2023-10-19 00:00:00-04:00,95.51407811311563,95.53020825074886,95.51407811311563,95.52830505371094,25700,0.0,0.0,0.0
2023-10-20 00:00:00-04:00,95.54823291998353,95.5520248413086,95.53305799819223,95.5520248413086,5400,0.0,0.0,0.0
2023-10-23 00:00:00-04:00,95.53305446445346,95.55202130686824,95.53305446445346,95.54254150390625,7700,0.0,0.0,0.0
2023-10-24 00:00:00-04:00,95.55202876791189,95.56815890718838,95.55202876791189,95.56151580810547,2600,0.0,0.0,0.0
2023-10-25 00:00:00-04:00,95.55202876791189,95.56151580810547,95.54254896420969,95.56151580810547,242200,0.0,0.0,0.0
2023-10-26 00:00:00-04:00,95.59944545604264,95.6184122977012,95.59944545604264,95.60893249511719,12700,0.0,0.0,0.0
2023-10-27 00:00:00-04:00,95.62788783999571,95.63737487792969,95.62788783999571,95.63737487792969,10500,0.0,0.0,0.0
2023-10-30 00:00:00-04:00,95.64402577342418,95.64402577342418,95.61841583251953,95.61841583251953,13500,0.0,0.0,0.0
2023-10-31 00:00:00-04:00,95.64782310886562,95.6563549313441,95.63738808934572,95.64212799072266,5300,0.0,0.0,0.0
2023-11-01 00:00:00-04:00,95.65643310546875,95.67072667143594,95.65643310546875,95.65643310546875,56500,0.47,0.0,0.0
2023-11-02 00:00:00-04:00,95.71361149762687,95.71361149762687,95.69645340272595,95.6993179321289,4500,0.0,0.0,0.0
2023-11-03 00:00:00-04:00,95.74219491797393,95.74219491797393,95.71360778808594,95.71360778808594,7800,0.0,0.0,0.0
2023-11-06 00:00:00-05:00,95.73266131007915,95.75172424316406,95.73266131007915,95.75172424316406,28800,0.0,0.0,0.0
2023-11-07 00:00:00-05:00,95.76124843932777,95.77077990587023,95.75172424316406,95.75172424316406,2200,0.0,0.0,0.0
2023-11-08 00:00:00-05:00,95.78697951881018,95.78983677769536,95.77078111474866,95.77554321289062,8200,0.0,0.0,0.0
2023-11-09 00:00:00-05:00,95.82795986567567,95.82795986567567,95.81843566894531,95.81843566894531,2800,0.0,0.0,0.0
2023-11-10 00:00:00-05:00,95.82795480048411,95.83748626708984,95.82319270237065,95.83748626708984,11500,0.0,0.0,0.0
2023-11-13 00:00:00-05:00,95.84225092952728,95.8565444946289,95.82795736442566,95.8565444946289,70400,0.0,0.0,0.0
2023-11-14 00:00:00-05:00,95.84702029814716,95.87084533010952,95.84702029814716,95.8565444946289,2900,0.0,0.0,0.0
2023-11-15 00:00:00-05:00,95.87560272216797,95.88418176895942,95.86607125577508,95.87560272216797,280200,0.0,0.0,0.0
2023-11-16 00:00:00-05:00,95.91848890492028,95.92325827357901,95.90419533970224,95.91372680664062,102700,0.0,0.0,0.0
2023-11-17 00:00:00-05:00,95.95184561490855,95.95184561490855,95.93278268098989,95.94231414794922,55400,0.0,0.0,0.0
2023-11-20 00:00:00-05:00,95.94802360120653,95.96231716570149,95.94230908356002,95.96136474609375,38700,0.0,0.0,0.0
2023-11-21 00:00:00-05:00,95.9994862661416,95.9994862661416,95.98043060302734,95.98043060302734,13800,0.0,0.0,0.0
2023-11-22 00:00:00-05:00,96.02808144749332,96.03761291503906,96.01855725032709,96.03761291503906,278000,0.0,0.0,0.0
2023-11-24 00:00:00-05:00,96.04713439941406,96.04713439941406,96.03284083477088,96.04713439941406,23500,0.0,0.0,0.0
2023-11-27 00:00:00-05:00,96.06619633657284,96.06619633657284,96.04714067259692,96.0519027709961,48200,0.0,0.0,0.0
2023-11-28 00:00:00-05:00,96.06620161282088,96.07097098186124,96.05667741549944,96.06143951416016,9300,0.0,0.0,0.0
2023-11-29 00:00:00-05:00,96.09476841685364,96.09476841685364,96.07571275586233,96.08047485351562,36200,0.0,0.0,0.0
2023-11-30 00:00:00-05:00,96.13290013267209,96.13290013267209,96.10431300209353,96.11860656738281,23500,0.0,0.0,0.0
2023-12-01 00:00:00-05:00,96.13483998940549,96.14535337232063,96.12623680505052,96.13101959228516,27900,0.283,0.0,0.0
2023-12-04 00:00:00-05:00,96.16446450141342,96.16446450141342,96.14535522460938,96.14535522460938,12500,0.0,0.0,0.0
2023-12-05 00:00:00-05:00,96.18359105692818,96.18359105692818,96.15492349332804,96.16447448730469,12100,0.0,0.0,0.0
2023-12-06 00:00:00-05:00,96.14535180491366,96.18357764799649,96.14535180491366,96.17879486083984,229700,0.0,0.0,0.0
2023-12-07 00:00:00-05:00,96.22180361031715,96.23995778719951,96.22180361031715,96.23613739013672,64300,0.0,0.0,0.0
2023-12-08 00:00:00-05:00,96.24092915374324,96.25048743884992,96.24092915374324,96.2457046508789,10500,0.0,0.0,0.0
2023-12-11 00:00:00-05:00,96.24091524326693,96.26003181071721,96.24091524326693,96.2552490234375,12500,0.0,0.0,0.0
